market_key,market,scenario_id,scenario,is_baseline,sensitivity_value,n,strategy,efficiency_credit,eligible_replications,efficient_share
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,25,Both sides search,10.0,100,0.1
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,25,Customers search,65.0,100,0.65
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,25,Providers search,25.0,100,0.25
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,50,Customers search,98.0,100,0.98
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,50,Providers search,2.0,100,0.02
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,100,Customers search,100.0,100,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,150,Customers search,100.0,100,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,0.2,200,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,25,Customers search,100.0,100,1.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,50,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,50,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,100,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,100,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,150,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,150,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,0.4,200,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,25,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,25,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,50,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,50,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,100,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,100,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,150,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,150,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,0.6,200,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,25,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,25,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,50,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,50,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,100,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,100,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,150,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,150,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_0.80,"d_I=0.10, d_J=0.80",True,0.8,200,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,25,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,25,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,50,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,50,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,100,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,100,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,150,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,150,Customers search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,200,Both sides search,50.0,100,0.5
airbnb,Airbnb / short-term rentals,airbnb_dj_1.00,"d_I=0.10, d_J=1.00",False,1.0,200,Customers search,50.0,100,0.5
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,25,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,50,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,100,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,150,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.02,d_I=d_J=0.02,True,0.02,200,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,25,Both sides search,100.0,100,1.0
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,50,Both sides search,98.0,100,0.98
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,50,Providers search,2.0,100,0.02
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,100,Both sides search,79.0,100,0.79
care,Care.com / childcare,care_d_0.05,d_I=d_J=0.05,False,0.05,100,Customers search,13.0,100,0.13
