market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,0,Customers search,158,6.32,18.6,18.6,1.0,0.0,1.0,0.6673000025330111,Customers search,False,,106.0,52.0,27.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,0,Providers search,232,9.28,18.6,18.6,1.0,0.0,1.0,1.1750999983632937,Customers search,False,,149.0,83.0,58.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,0,Both sides search,188,7.52,18.6,18.6,1.0,0.0,1.0,0.29769999673590064,Customers search,False,0.4,0.0,57.0,32.0,131.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,0,Centralized matching,625,25.0,10.0,18.6,0.5376344086021505,0.4623655913978495,0.4,0.6575000006705523,Customers search,False,,,,,,25.0,16.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,0,Customers search,107,4.28,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.38360000326065347,Customers search,False,,56.0,51.0,26.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,0,Providers search,204,8.16,20.200000000000003,20.200000000000003,1.0,0.0,1.0,0.6492999964393675,Customers search,False,,165.0,39.0,14.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,0,Both sides search,298,11.92,20.2,20.200000000000003,0.9999999999999998,2.220446049250313e-16,1.0,0.23550000332761556,Customers search,False,0.4,0.0,53.0,28.0,245.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,0,Centralized matching,625,25.0,13.0,20.200000000000003,0.6435643564356435,0.35643564356435653,0.52,0.5577000047196634,Customers search,False,,,,,,25.0,23.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,0,Customers search,74,2.96,21.400000000000002,21.400000000000002,1.0,0.0,1.0,0.26700000307755545,Customers search,False,,27.0,47.0,22.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,0,Providers search,258,10.32,21.400000000000002,21.400000000000002,1.0,0.0,1.0,0.8353000011993572,Customers search,False,,222.0,36.0,11.0,,,
